
Epoch:100/5000  train loss:2.4706e+00  val loss:6.5919e-01  best epoch:83  min loss:2.4253e-01  lr:8.340283570e-02  time:19.72s  time total:0.33min  time remain:16.11min
Epoch:200/5000  train loss:9.0924e-01  val loss:1.6492e+00  best epoch:155  min loss:1.5239e-01  lr:7.147962831e-02  time:14.24s  time total:0.57min  time remain:13.58min
Epoch:300/5000  train loss:1.1227e+00  val loss:8.4783e-01  best epoch:244  min loss:7.6779e-02  lr:6.253908693e-02  time:13.92s  time total:0.80min  time remain:12.50min
Epoch:400/5000  train loss:1.1590e+00  val loss:2.0066e+00  best epoch:244  min loss:7.6779e-02  lr:5.558643691e-02  time:14.33s  time total:1.04min  time remain:11.92min
Epoch:500/5000  train loss:1.7266e+00  val loss:1.6374e+00  best epoch:244  min loss:7.6779e-02  lr:5.002501251e-02  time:14.39s  time total:1.28min  time remain:11.49min
Epoch:600/5000  train loss:5.3604e-01  val loss:6.9159e-01  best epoch:526  min loss:6.3163e-02  lr:4.547521601e-02  time:14.30s  time total:1.51min  time remain:11.11min
Epoch:700/5000  train loss:5.7654e-01  val loss:3.1054e+00  best epoch:526  min loss:6.3163e-02  lr:4.168403501e-02  time:9.92s  time total:1.68min  time remain:10.32min
Epoch:800/5000  train loss:3.0256e-01  val loss:6.1844e-01  best epoch:771  min loss:4.3082e-02  lr:3.847633705e-02  time:8.07s  time total:1.81min  time remain:9.53min
Epoch:900/5000  train loss:5.8245e-01  val loss:2.7513e+00  best epoch:771  min loss:4.3082e-02  lr:3.572704537e-02  time:8.27s  time total:1.95min  time remain:8.90min
Epoch:1000/5000  train loss:2.3847e-01  val loss:2.3292e-01  best epoch:771  min loss:4.3082e-02  lr:3.334444815e-02  time:8.78s  time total:2.10min  time remain:8.40min
Epoch:1100/5000  train loss:3.4211e-01  val loss:8.7846e-01  best epoch:771  min loss:4.3082e-02  lr:3.125976868e-02  time:10.85s  time total:2.28min  time remain:8.08min
Epoch:1200/5000  train loss:2.5432e-01  val loss:3.0710e-01  best epoch:771  min loss:4.3082e-02  lr:2.942041777e-02  time:13.75s  time total:2.51min  time remain:7.95min
Epoch:1300/5000  train loss:2.9037e-01  val loss:4.2683e-01  best epoch:1287  min loss:4.0307e-02  lr:2.778549597e-02  time:14.48s  time total:2.75min  time remain:7.83min
Epoch:1400/5000  train loss:1.1986e-01  val loss:5.1964e-01  best epoch:1287  min loss:4.0307e-02  lr:2.632271650e-02  time:14.58s  time total:2.99min  time remain:7.70min
Epoch:1500/5000  train loss:5.7908e-01  val loss:1.1445e+00  best epoch:1287  min loss:4.0307e-02  lr:2.500625156e-02  time:14.41s  time total:3.23min  time remain:7.54min
