
Epoch:100/10000  train loss:1.7258e+00  val loss:1.4944e+00  best epoch:19  min loss:3.3718e-01  lr:9.055243606e-02  time:18.85s  time total:0.31min  time remain:31.10min
Epoch:200/10000  train loss:6.7193e-01  val loss:1.7753e+00  best epoch:188  min loss:1.1789e-01  lr:6.563456467e-02  time:14.30s  time total:0.55min  time remain:27.07min
Epoch:300/10000  train loss:1.1028e+00  val loss:6.3365e-01  best epoch:296  min loss:9.5403e-02  lr:3.476391927e-02  time:14.52s  time total:0.79min  time remain:25.69min
Epoch:400/10000  train loss:5.0899e-01  val loss:1.1068e-01  best epoch:398  min loss:3.1284e-02  lr:9.732037159e-03  time:14.69s  time total:1.04min  time remain:24.94min
Epoch:500/10000  train loss:1.5562e+00  val loss:9.3027e-02  best epoch:488  min loss:1.1893e-02  lr:1.002464932e-04  time:14.63s  time total:1.28min  time remain:24.38min
Epoch:600/10000  train loss:1.6156e-01  val loss:8.9563e-02  best epoch:510  min loss:9.4556e-03  lr:9.547563937e-03  time:14.60s  time total:1.53min  time remain:23.91min
Epoch:700/10000  train loss:2.9299e+00  val loss:5.9756e+00  best epoch:510  min loss:9.4556e-03  lr:3.446543533e-02  time:13.88s  time total:1.76min  time remain:23.35min
Epoch:800/10000  train loss:2.0452e+00  val loss:6.3128e+00  best epoch:510  min loss:9.4556e-03  lr:6.533608073e-02  time:14.47s  time total:2.00min  time remain:22.99min
Epoch:900/10000  train loss:2.2694e+00  val loss:8.1281e+00  best epoch:510  min loss:9.4556e-03  lr:9.036796284e-02  time:15.72s  time total:2.26min  time remain:22.86min
Epoch:1000/10000  train loss:4.9629e-01  val loss:2.5941e-01  best epoch:510  min loss:9.4556e-03  lr:9.999975351e-02  time:15.82s  time total:2.52min  time remain:22.72min
Epoch:1100/10000  train loss:9.9158e-01  val loss:1.3720e+00  best epoch:510  min loss:9.4556e-03  lr:9.055243606e-02  time:15.66s  time total:2.79min  time remain:22.54min
Epoch:1200/10000  train loss:8.5646e-01  val loss:2.3191e-01  best epoch:510  min loss:9.4556e-03  lr:6.563456467e-02  time:14.83s  time total:3.03min  time remain:22.24min
Epoch:1300/10000  train loss:2.2724e-01  val loss:1.7367e-01  best epoch:510  min loss:9.4556e-03  lr:3.476391927e-02  time:15.38s  time total:3.29min  time remain:22.01min
