
Epoch:100/10000  train loss:1.9805e+00  val loss:1.4708e+00  best epoch:26  min loss:6.2197e-01  lr:9.055243606e-02  time:23.31s  time total:0.39min  time remain:38.47min
Epoch:200/10000  train loss:8.3543e-01  val loss:1.0254e+00  best epoch:170  min loss:4.1766e-01  lr:6.563456467e-02  time:15.81s  time total:0.65min  time remain:31.95min
Epoch:300/10000  train loss:5.9608e-01  val loss:5.0098e-01  best epoch:295  min loss:1.6193e-01  lr:3.476391927e-02  time:15.70s  time total:0.91min  time remain:29.54min
Epoch:400/10000  train loss:3.9942e-01  val loss:2.7696e-01  best epoch:387  min loss:6.4866e-02  lr:9.732037159e-03  time:15.07s  time total:1.16min  time remain:27.95min
Epoch:500/10000  train loss:5.8068e-01  val loss:8.0551e-02  best epoch:477  min loss:2.7114e-02  lr:1.002464932e-04  time:15.47s  time total:1.42min  time remain:27.03min
Epoch:600/10000  train loss:2.4249e-01  val loss:1.7489e-01  best epoch:504  min loss:2.2026e-02  lr:9.547563937e-03  time:15.46s  time total:1.68min  time remain:26.32min
Epoch:700/10000  train loss:5.9717e-01  val loss:8.6003e-01  best epoch:504  min loss:2.2026e-02  lr:3.446543533e-02  time:15.41s  time total:1.94min  time remain:25.73min
Epoch:800/10000  train loss:1.3635e+00  val loss:8.3804e-01  best epoch:504  min loss:2.2026e-02  lr:6.533608073e-02  time:15.39s  time total:2.19min  time remain:25.22min
Epoch:900/10000  train loss:7.5268e-01  val loss:3.1089e+00  best epoch:504  min loss:2.2026e-02  lr:9.036796284e-02  time:14.83s  time total:2.44min  time remain:24.68min
Epoch:1000/10000  train loss:1.2311e+00  val loss:5.9067e+00  best epoch:504  min loss:2.2026e-02  lr:9.999975351e-02  time:15.46s  time total:2.70min  time remain:24.28min
Epoch:1100/10000  train loss:1.3888e+00  val loss:1.4050e+00  best epoch:504  min loss:2.2026e-02  lr:9.055243606e-02  time:15.71s  time total:2.96min  time remain:23.95min
Epoch:1200/10000  train loss:3.2291e-01  val loss:3.6678e-01  best epoch:504  min loss:2.2026e-02  lr:6.563456467e-02  time:15.58s  time total:3.22min  time remain:23.61min
Epoch:1300/10000  train loss:2.8055e-01  val loss:2.8443e-01  best epoch:504  min loss:2.2026e-02  lr:3.476391927e-02  time:15.43s  time total:3.48min  time remain:23.27min
Epoch:1400/10000  train loss:1.1610e-01  val loss:5.1858e-02  best epoch:504  min loss:2.2026e-02  lr:9.732037159e-03  time:15.48s  time total:3.73min  time remain:22.94min
Epoch:1500/10000  train loss:2.2698e-01  val loss:3.6497e-02  best epoch:504  min loss:2.2026e-02  lr:1.002464932e-04  time:14.86s  time total:3.98min  time remain:22.57min
