2023-05-09 04:15:44,993 INFO    MainThread:4007434 [wandb_setup.py:_flush():68] Configure stats pid to 4007434
2023-05-09 04:15:44,994 INFO    MainThread:4007434 [wandb_setup.py:_flush():68] Loading settings from /home/enze/.config/wandb/settings
2023-05-09 04:15:44,994 INFO    MainThread:4007434 [wandb_setup.py:_flush():68] Loading settings from /data/enze/workspace/Simple_MLP/wandb/settings
2023-05-09 04:15:44,994 INFO    MainThread:4007434 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True'}
2023-05-09 04:15:44,994 INFO    MainThread:4007434 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program_relpath': 'model.py', 'program': '/data/enze/workspace/Simple_MLP/model.py'}
2023-05-09 04:15:44,994 INFO    MainThread:4007434 [wandb_init.py:_log_setup():476] Logging user logs to /data/enze/workspace/Simple_MLP/wandb/run-20230509_041544-lhq9g7lq/logs/debug.log
2023-05-09 04:15:44,994 INFO    MainThread:4007434 [wandb_init.py:_log_setup():477] Logging internal logs to /data/enze/workspace/Simple_MLP/wandb/run-20230509_041544-lhq9g7lq/logs/debug-internal.log
2023-05-09 04:15:44,994 INFO    MainThread:4007434 [wandb_init.py:init():516] calling init triggers
2023-05-09 04:15:44,994 INFO    MainThread:4007434 [wandb_init.py:init():519] wandb.init called with sweep_config: {}
config: {}
2023-05-09 04:15:44,994 INFO    MainThread:4007434 [wandb_init.py:init():569] starting backend
2023-05-09 04:15:44,994 INFO    MainThread:4007434 [wandb_init.py:init():573] setting up manager
2023-05-09 04:15:44,995 INFO    MainThread:4007434 [backend.py:_multiprocessing_setup():102] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-05-09 04:15:44,997 INFO    MainThread:4007434 [wandb_init.py:init():580] backend started and connected
2023-05-09 04:15:44,998 INFO    MainThread:4007434 [wandb_init.py:init():658] updated telemetry
2023-05-09 04:15:45,083 INFO    MainThread:4007434 [wandb_init.py:init():693] communicating run to backend with 60 second timeout
2023-05-09 04:15:45,375 INFO    MainThread:4007434 [wandb_run.py:_on_init():2000] communicating current version
2023-05-09 04:15:45,485 INFO    MainThread:4007434 [wandb_run.py:_on_init():2004] got version response upgrade_message: "wandb version 0.15.2 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2023-05-09 04:15:45,485 INFO    MainThread:4007434 [wandb_init.py:init():728] starting run threads in backend
2023-05-09 04:15:46,457 INFO    MainThread:4007434 [wandb_run.py:_console_start():1980] atexit reg
2023-05-09 04:15:46,457 INFO    MainThread:4007434 [wandb_run.py:_redirect():1838] redirect: SettingsConsole.WRAP_RAW
2023-05-09 04:15:46,457 INFO    MainThread:4007434 [wandb_run.py:_redirect():1903] Wrapping output streams.
2023-05-09 04:15:46,457 INFO    MainThread:4007434 [wandb_run.py:_redirect():1925] Redirects installed.
2023-05-09 04:15:46,458 INFO    MainThread:4007434 [wandb_init.py:init():765] run started, returning control to user process
2023-05-09 04:40:37,090 INFO    MainThread:4007434 [wandb_run.py:_finish():1746] finishing run glhf/Simple_MLP/lhq9g7lq
2023-05-09 04:40:37,090 INFO    MainThread:4007434 [wandb_run.py:_atexit_cleanup():1949] got exitcode: 0
2023-05-09 04:40:37,090 INFO    MainThread:4007434 [wandb_run.py:_restore():1932] restore
2023-05-09 04:40:37,090 INFO    MainThread:4007434 [wandb_run.py:_restore():1938] restore done
2023-05-09 04:40:42,002 INFO    MainThread:4007434 [wandb_run.py:_footer_history_summary_info():3377] rendering history
2023-05-09 04:40:42,003 INFO    MainThread:4007434 [wandb_run.py:_footer_history_summary_info():3409] rendering summary
2023-05-09 04:40:42,004 INFO    MainThread:4007434 [wandb_run.py:_footer_sync_info():3333] logging synced files
