2023-05-09 04:20:15,082 INFO    MainThread:4064989 [wandb_setup.py:_flush():68] Configure stats pid to 4064989
2023-05-09 04:20:15,083 INFO    MainThread:4064989 [wandb_setup.py:_flush():68] Loading settings from /home/enze/.config/wandb/settings
2023-05-09 04:20:15,083 INFO    MainThread:4064989 [wandb_setup.py:_flush():68] Loading settings from /data/enze/workspace/Simple_MLP/wandb/settings
2023-05-09 04:20:15,083 INFO    MainThread:4064989 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True'}
2023-05-09 04:20:15,083 INFO    MainThread:4064989 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program_relpath': 'model.py', 'program': '/data/enze/workspace/Simple_MLP/model.py'}
2023-05-09 04:20:15,083 INFO    MainThread:4064989 [wandb_init.py:_log_setup():476] Logging user logs to /data/enze/workspace/Simple_MLP/wandb/run-20230509_042015-2c9zr4tu/logs/debug.log
2023-05-09 04:20:15,083 INFO    MainThread:4064989 [wandb_init.py:_log_setup():477] Logging internal logs to /data/enze/workspace/Simple_MLP/wandb/run-20230509_042015-2c9zr4tu/logs/debug-internal.log
2023-05-09 04:20:15,083 INFO    MainThread:4064989 [wandb_init.py:init():516] calling init triggers
2023-05-09 04:20:15,083 INFO    MainThread:4064989 [wandb_init.py:init():519] wandb.init called with sweep_config: {}
config: {}
2023-05-09 04:20:15,084 INFO    MainThread:4064989 [wandb_init.py:init():569] starting backend
2023-05-09 04:20:15,084 INFO    MainThread:4064989 [wandb_init.py:init():573] setting up manager
2023-05-09 04:20:15,086 INFO    MainThread:4064989 [backend.py:_multiprocessing_setup():102] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-05-09 04:20:15,088 INFO    MainThread:4064989 [wandb_init.py:init():580] backend started and connected
2023-05-09 04:20:15,091 INFO    MainThread:4064989 [wandb_init.py:init():658] updated telemetry
2023-05-09 04:20:15,159 INFO    MainThread:4064989 [wandb_init.py:init():693] communicating run to backend with 60 second timeout
2023-05-09 04:20:15,449 INFO    MainThread:4064989 [wandb_run.py:_on_init():2000] communicating current version
2023-05-09 04:20:15,551 INFO    MainThread:4064989 [wandb_run.py:_on_init():2004] got version response upgrade_message: "wandb version 0.15.2 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2023-05-09 04:20:15,551 INFO    MainThread:4064989 [wandb_init.py:init():728] starting run threads in backend
2023-05-09 04:20:15,908 INFO    MainThread:4064989 [wandb_run.py:_console_start():1980] atexit reg
2023-05-09 04:20:15,908 INFO    MainThread:4064989 [wandb_run.py:_redirect():1838] redirect: SettingsConsole.WRAP_RAW
2023-05-09 04:20:15,909 INFO    MainThread:4064989 [wandb_run.py:_redirect():1903] Wrapping output streams.
2023-05-09 04:20:15,909 INFO    MainThread:4064989 [wandb_run.py:_redirect():1925] Redirects installed.
2023-05-09 04:20:15,909 INFO    MainThread:4064989 [wandb_init.py:init():765] run started, returning control to user process
2023-05-09 04:43:39,197 INFO    MainThread:4064989 [wandb_run.py:_finish():1746] finishing run glhf/Simple_MLP/2c9zr4tu
2023-05-09 04:43:39,197 INFO    MainThread:4064989 [wandb_run.py:_atexit_cleanup():1949] got exitcode: 0
2023-05-09 04:43:39,197 INFO    MainThread:4064989 [wandb_run.py:_restore():1932] restore
2023-05-09 04:43:39,197 INFO    MainThread:4064989 [wandb_run.py:_restore():1938] restore done
2023-05-09 04:43:44,324 INFO    MainThread:4064989 [wandb_run.py:_footer_history_summary_info():3377] rendering history
2023-05-09 04:43:44,325 INFO    MainThread:4064989 [wandb_run.py:_footer_history_summary_info():3409] rendering summary
2023-05-09 04:43:44,328 INFO    MainThread:4064989 [wandb_run.py:_footer_sync_info():3333] logging synced files
