
Epoch:100/10000  train loss:5.9181e-02  val loss:1.2569e-01  best epoch:85  min loss:9.8368e-03  lr:9.757946024e-02  time:20.58s  time total:0.34min  time remain:33.96min
Epoch:200/10000  train loss:6.0500e-03  val loss:1.4527e-02  best epoch:146  min loss:2.4867e-03  lr:9.050646738e-02  time:14.70s  time total:0.59min  time remain:28.81min
Epoch:300/10000  train loss:5.9935e-03  val loss:2.4980e-02  best epoch:265  min loss:1.3158e-03  lr:7.947331361e-02  time:15.14s  time total:0.84min  time remain:27.17min
Epoch:400/10000  train loss:2.2620e-03  val loss:4.8425e-03  best epoch:265  min loss:1.3158e-03  lr:6.556000090e-02  time:15.50s  time total:1.10min  time remain:26.37min
Epoch:500/10000  train loss:4.0756e-03  val loss:2.0690e-03  best epoch:487  min loss:4.0224e-04  lr:5.012846124e-02  time:16.28s  time total:1.37min  time remain:26.03min
Epoch:600/10000  train loss:2.1380e-03  val loss:5.4572e-03  best epoch:487  min loss:4.0224e-04  lr:3.468924125e-02  time:16.26s  time total:1.64min  time remain:25.71min
Epoch:700/10000  train loss:1.2083e-03  val loss:4.4758e-03  best epoch:610  min loss:2.4168e-04  lr:2.075363935e-02  time:15.63s  time total:1.90min  time remain:25.26min
Epoch:800/10000  train loss:5.4783e-04  val loss:9.0479e-04  best epoch:746  min loss:1.8632e-04  lr:9.685769348e-03  time:16.22s  time total:2.17min  time remain:24.98min
Epoch:900/10000  train loss:5.1145e-04  val loss:3.0110e-03  best epoch:812  min loss:1.2871e-04  lr:2.569031476e-03  time:16.07s  time total:2.44min  time remain:24.67min
Epoch:1000/10000  train loss:9.1111e-04  val loss:2.3407e-03  best epoch:964  min loss:1.2203e-04  lr:1.000616233e-04  time:16.73s  time total:2.72min  time remain:24.47min
Epoch:1100/10000  train loss:9.4851e-04  val loss:1.1831e-03  best epoch:964  min loss:1.2203e-04  lr:2.520539760e-03  time:16.31s  time total:2.99min  time remain:24.20min
Epoch:1200/10000  train loss:3.0865e-04  val loss:6.8406e-04  best epoch:964  min loss:1.2203e-04  lr:9.593532623e-03  time:16.25s  time total:3.26min  time remain:23.92min
Epoch:1300/10000  train loss:1.8339e-03  val loss:9.2510e-03  best epoch:964  min loss:1.2203e-04  lr:2.062668639e-02  time:15.76s  time total:3.52min  time remain:23.58min
Epoch:1400/10000  train loss:9.8810e-04  val loss:7.7218e-03  best epoch:964  min loss:1.2203e-04  lr:3.453999910e-02  time:16.23s  time total:3.79min  time remain:23.31min
Epoch:1500/10000  train loss:4.8762e-03  val loss:9.3169e-03  best epoch:964  min loss:1.2203e-04  lr:4.997153876e-02  time:16.77s  time total:4.07min  time remain:23.09min
Epoch:1600/10000  train loss:2.8050e-03  val loss:2.7829e-03  best epoch:964  min loss:1.2203e-04  lr:6.541075875e-02  time:16.21s  time total:4.34min  time remain:22.81min
Epoch:1700/10000  train loss:1.2773e-02  val loss:2.0269e-02  best epoch:964  min loss:1.2203e-04  lr:7.934636065e-02  time:16.21s  time total:4.61min  time remain:22.53min
Epoch:1800/10000  train loss:8.7410e-03  val loss:5.3177e-03  best epoch:964  min loss:1.2203e-04  lr:9.041423065e-02  time:16.34s  time total:4.89min  time remain:22.26min
Epoch:1900/10000  train loss:4.6987e-03  val loss:8.1644e-03  best epoch:964  min loss:1.2203e-04  lr:9.753096852e-02  time:15.57s  time total:5.15min  time remain:21.94min
Epoch:2000/10000  train loss:1.3198e-02  val loss:3.7126e-03  best epoch:964  min loss:1.2203e-04  lr:9.999993838e-02  time:16.94s  time total:5.43min  time remain:21.71min
Epoch:2100/10000  train loss:1.4937e-02  val loss:7.1512e-02  best epoch:964  min loss:1.2203e-04  lr:9.757946024e-02  time:16.20s  time total:5.70min  time remain:21.44min
Epoch:2200/10000  train loss:4.4117e-03  val loss:7.0904e-03  best epoch:964  min loss:1.2203e-04  lr:9.050646738e-02  time:16.34s  time total:5.97min  time remain:21.17min
Epoch:2300/10000  train loss:7.8347e-03  val loss:4.9762e-02  best epoch:964  min loss:1.2203e-04  lr:7.947331361e-02  time:16.39s  time total:6.24min  time remain:20.90min
Epoch:2400/10000  train loss:3.0392e-03  val loss:1.7686e-02  best epoch:964  min loss:1.2203e-04  lr:6.556000090e-02  time:16.28s  time total:6.52min  time remain:20.63min
Epoch:2500/10000  train loss:7.9433e-03  val loss:3.0546e-02  best epoch:964  min loss:1.2203e-04  lr:5.012846124e-02  time:15.91s  time total:6.78min  time remain:20.34min
Epoch:2600/10000  train loss:1.3807e-03  val loss:2.2539e-02  best epoch:964  min loss:1.2203e-04  lr:3.468924125e-02  time:16.55s  time total:7.06min  time remain:20.08min
Epoch:2700/10000  train loss:6.7119e-04  val loss:3.0055e-03  best epoch:964  min loss:1.2203e-04  lr:2.075363935e-02  time:16.27s  time total:7.33min  time remain:19.81min
Epoch:2800/10000  train loss:1.6349e-03  val loss:8.0474e-04  best epoch:964  min loss:1.2203e-04  lr:9.685769348e-03  time:16.15s  time total:7.60min  time remain:19.53min
