
Epoch:100/10000  train loss:9.3158e-01  val loss:1.9429e+00  best epoch:92  min loss:5.7812e-01  lr:9.757946024e-02  time:22.01s  time total:0.37min  time remain:36.32min
Epoch:200/10000  train loss:6.5074e-01  val loss:8.7572e-01  best epoch:184  min loss:3.4546e-01  lr:9.050646738e-02  time:15.46s  time total:0.62min  time remain:30.60min
Epoch:300/10000  train loss:4.7032e-01  val loss:3.2452e-01  best epoch:298  min loss:2.6832e-01  lr:7.947331361e-02  time:16.22s  time total:0.89min  time remain:28.94min
Epoch:400/10000  train loss:2.7919e-01  val loss:1.8766e-01  best epoch:397  min loss:1.7228e-01  lr:6.556000090e-02  time:15.89s  time total:1.16min  time remain:27.83min
Epoch:500/10000  train loss:1.1380e-01  val loss:1.0135e-01  best epoch:468  min loss:7.9290e-02  lr:5.012846124e-02  time:17.02s  time total:1.44min  time remain:27.42min
Epoch:600/10000  train loss:1.6803e-01  val loss:1.2385e-01  best epoch:593  min loss:6.3337e-02  lr:3.468924125e-02  time:16.36s  time total:1.72min  time remain:26.88min
Epoch:700/10000  train loss:9.2738e-02  val loss:8.3350e-02  best epoch:681  min loss:6.0752e-02  lr:2.075363935e-02  time:16.37s  time total:1.99min  time remain:26.42min
Epoch:800/10000  train loss:8.2879e-02  val loss:5.3888e-02  best epoch:717  min loss:5.0214e-02  lr:9.685769348e-03  time:16.20s  time total:2.26min  time remain:25.98min
Epoch:900/10000  train loss:6.3614e-02  val loss:4.4785e-02  best epoch:887  min loss:4.4493e-02  lr:2.569031476e-03  time:16.28s  time total:2.53min  time remain:25.58min
Epoch:1000/10000  train loss:5.0363e-02  val loss:4.2745e-02  best epoch:988  min loss:4.2734e-02  lr:1.000616233e-04  time:16.10s  time total:2.80min  time remain:25.19min
Epoch:1100/10000  train loss:1.0645e-01  val loss:6.0068e-02  best epoch:988  min loss:4.2734e-02  lr:2.520539760e-03  time:16.59s  time total:3.08min  time remain:24.88min
Epoch:1200/10000  train loss:8.6913e-02  val loss:7.7523e-02  best epoch:988  min loss:4.2734e-02  lr:9.593532623e-03  time:16.17s  time total:3.34min  time remain:24.53min
Epoch:1300/10000  train loss:7.9942e-02  val loss:1.1437e-01  best epoch:988  min loss:4.2734e-02  lr:2.062668639e-02  time:16.22s  time total:3.62min  time remain:24.19min
Epoch:1400/10000  train loss:1.0978e-01  val loss:6.5887e-02  best epoch:988  min loss:4.2734e-02  lr:3.453999910e-02  time:16.33s  time total:3.89min  time remain:23.88min
Epoch:1500/10000  train loss:1.3656e-01  val loss:7.3030e-02  best epoch:988  min loss:4.2734e-02  lr:4.997153876e-02  time:16.53s  time total:4.16min  time remain:23.59min
Epoch:1600/10000  train loss:6.5010e+01  val loss:4.2845e+01  best epoch:988  min loss:4.2734e-02  lr:6.541075875e-02  time:17.00s  time total:4.45min  time remain:23.34min
Epoch:1700/10000  train loss:1.0491e+01  val loss:1.0642e+00  best epoch:988  min loss:4.2734e-02  lr:7.934636065e-02  time:15.87s  time total:4.71min  time remain:23.00min
