
Epoch:100/10000  train loss:5.2318e-01  val loss:8.5763e-01  best epoch:75  min loss:4.1460e-01  lr:9.757946024e-02  time:23.81s  time total:0.40min  time remain:39.28min
Epoch:200/10000  train loss:7.3697e-01  val loss:4.0218e-01  best epoch:194  min loss:3.5705e-01  lr:9.050646738e-02  time:15.85s  time total:0.66min  time remain:32.39min
Epoch:300/10000  train loss:3.5466e-01  val loss:3.0790e-01  best epoch:293  min loss:3.0040e-01  lr:7.947331361e-02  time:16.41s  time total:0.93min  time remain:30.21min
Epoch:400/10000  train loss:2.6261e-01  val loss:2.6248e-01  best epoch:379  min loss:2.3542e-01  lr:6.556000090e-02  time:16.74s  time total:1.21min  time remain:29.12min
Epoch:500/10000  train loss:2.1599e-01  val loss:1.7644e-01  best epoch:491  min loss:1.6767e-01  lr:5.012846124e-02  time:16.57s  time total:1.49min  time remain:28.30min
Epoch:600/10000  train loss:1.7584e-01  val loss:2.0038e-01  best epoch:573  min loss:1.4838e-01  lr:3.468924125e-02  time:16.30s  time total:1.76min  time remain:27.59min
Epoch:700/10000  train loss:7.5538e-02  val loss:7.8645e-02  best epoch:699  min loss:5.8686e-02  lr:2.075363935e-02  time:16.45s  time total:2.04min  time remain:27.04min
Epoch:800/10000  train loss:7.8597e-02  val loss:6.0138e-02  best epoch:769  min loss:4.9707e-02  lr:9.685769348e-03  time:15.77s  time total:2.30min  time remain:26.43min
Epoch:900/10000  train loss:5.8459e-02  val loss:4.5266e-02  best epoch:893  min loss:4.4287e-02  lr:2.569031476e-03  time:16.33s  time total:2.57min  time remain:25.99min
Epoch:1000/10000  train loss:5.1482e-02  val loss:4.3276e-02  best epoch:981  min loss:4.2544e-02  lr:1.000616233e-04  time:16.92s  time total:2.85min  time remain:25.67min
Epoch:1100/10000  train loss:6.5036e-02  val loss:5.2424e-02  best epoch:1042  min loss:4.2524e-02  lr:2.520539760e-03  time:16.44s  time total:3.13min  time remain:25.30min
Epoch:1200/10000  train loss:7.5926e-02  val loss:6.6341e-02  best epoch:1042  min loss:4.2524e-02  lr:9.593532623e-03  time:16.44s  time total:3.40min  time remain:24.94min
Epoch:1300/10000  train loss:7.8779e-02  val loss:1.0222e-01  best epoch:1042  min loss:4.2524e-02  lr:2.062668639e-02  time:16.25s  time total:3.67min  time remain:24.57min
